id;judge_id;rating_id
7c2b25cf-0946-432f-abda-834d0f3b3c61;a472627d-60a2-4149-b631-44b495d728de;129ab70c-4558-4b74-adae-3fc4ade0898f
19ee4c13-3e99-405f-8129-ff99c87a1fb3;05c086be-c99d-43ba-bdac-0a0a73c1f2f1;a66da12e-daec-46f9-8a75-d262c833f16e
7b8c50ae-cab0-42b5-823b-60528ab39b81;9ffb52c3-de8b-4d8a-9ca2-1cb8afa4d635;a66da12e-daec-46f9-8a75-d262c833f16e
72a76bed-384f-4b24-a38f-ec97524bd820;31c6d411-a1d0-4d2c-8eb2-3b5886293df9;a66da12e-daec-46f9-8a75-d262c833f16e
59af6404-4314-460d-9e33-72974227a739;41ad9f1c-f59d-477d-b0cf-5f951f402d9e;a66da12e-daec-46f9-8a75-d262c833f16e
527ca836-6f3e-4852-b809-80bee9bebb98;5213cb9c-4fa0-4587-9a12-0a4576dea24e;a66da12e-daec-46f9-8a75-d262c833f16e
221f01e6-4715-4694-ad36-7f82773ae085;fa267cf4-9083-4ed1-b1f0-028fce756b1a;b29a43d4-042f-4379-9a6e-88debb2e1aa7
3db9be5b-bdc3-4c8c-86a5-7d286cd912c9;69c62007-c516-4564-b15d-09d8f19c029b;c3e71108-bc4a-412f-b7e4-44a786d11303
5adccf55-7384-4c01-8ce5-ce967ded4ab1;7e602760-d0f5-4adc-9924-df49116acdcf;c3e71108-bc4a-412f-b7e4-44a786d11303
c674b080-7c79-4b40-9f66-1f701a29859b;58fca354-135b-47df-b6bd-a6d244b59698;c3e71108-bc4a-412f-b7e4-44a786d11303
424258b0-731f-4591-b763-5097d95da40b;f4839847-c0be-4151-abf5-536d244b3396;c3e71108-bc4a-412f-b7e4-44a786d11303
94b4bf42-9bb1-4639-9b14-1de5a27d7ef4;7fc12d6c-c86d-4439-adf9-0e3ed06a8f26;8fdfa758-2c2f-429e-bce3-e524f079563c
7375edfd-f83c-44b6-8003-7d40a1b4134e;d467a342-11c9-48fb-93ec-ba97d3ce602c;8fdfa758-2c2f-429e-bce3-e524f079563c
759850c0-67d0-4c0c-8c57-602beba35c59;bd5c9669-580c-405e-8487-5fed8e64dd54;8fdfa758-2c2f-429e-bce3-e524f079563c
0a7bd6a0-9dc5-406f-b5fe-5cf2f34e23ba;267310a5-ee52-4fd0-874f-020d13bdb255;ee868fbe-7137-4c33-ab72-ae1706d1d296
a6075149-d27d-4c99-9082-da5ad404cf64;aeeac44c-cd6a-4924-847c-0a7d229bd521;ee868fbe-7137-4c33-ab72-ae1706d1d296
8f2eb332-4273-4e1a-bf45-7f7f083e44cf;0da081f9-8b7d-4326-bbf9-71837517f9ca;ee868fbe-7137-4c33-ab72-ae1706d1d296
51672d19-4dff-44f5-997f-13efe76efd24;396b1c9a-bbe9-495d-b2d7-0e8dc8c11646;ee868fbe-7137-4c33-ab72-ae1706d1d296
49a36b14-11af-47c8-8b4a-2026175b9433;0a0079b3-ed8b-4868-8708-57ea563c4ae9;3a235ab0-b9cf-4512-9026-ff0f8264dc89
