id;crew_id;protest_id;crew_status
0a5caba4-12a2-4946-a39c-62078914840f;5fd2499a-cb32-42dd-9845-e4b0150e19ae;cbdb1218-3941-49a7-9319-37d8d4b20084;2
d9e6f19e-0b94-4e66-9a86-4c30d62355b5;1efd083e-a41d-42b2-b025-61c1d0014ada;f8de53aa-189c-4097-8cf8-941ff2547b1c;1
c675dbdc-0861-48e5-898e-4e582c3d81a9;7196dfb6-39ab-4b54-896b-ff7b9a2fd1fe;8e79fdf8-6413-47d4-a0f9-7859b13ccb07;1
8399467e-68c1-43b7-bb9a-0dd15705f873;48383913-15b9-4f19-8d63-ec1046b202db;0a352a28-ba28-469a-b3c7-75b71372f73b;2
6a3885c1-f2ed-42db-ac00-5b30339620cf;d57be402-0d7f-4e62-8080-458889260e20;d4c9d4e1-1b92-4f95-8f7b-52b28e403d61;1
f868378d-f302-4344-985e-e19c2fe9b979;a6768429-b3c8-4b5d-80a2-9004950ea399;2507d0bc-7bd6-4d17-8ff0-1ab404ff05b1;3
15b93ac5-18f7-4a73-ad2c-8a5fe64338c1;2e39d58f-38f6-4c08-a9eb-f57b6ba7da6a;3c6ab772-d4ae-4922-ac64-e5be5c222c57;1
6f1c49f6-5946-440f-9c40-8ae03f156eb5;e4b719f9-0eab-48c0-ab1a-e90926a6689b;d14939af-1a78-4abc-bf07-ca13dfa94e0a;1
f7c87295-1e7b-42c8-9c96-bd5deb618be0;88bce3fa-a313-47c9-be6d-5ede50f1fac5;bbff12a4-e915-42b8-b79f-122ee101eb75;2
2f3a50b5-eca7-4c02-bf63-a91af00cbe30;ff83b302-5b60-4b07-b7e2-963b2d2f4b54;67fe358d-591a-46ea-90a8-d0b84a3eebde;1
0873bb08-d5a6-4191-a057-e7f96d32c084;9b2b8f36-a0fe-4fa8-8d41-26e4167f533d;f6c3655c-304f-4825-9aaa-dac3379a878d;2
d6a3d0be-acd9-486c-8859-087e243fd1bd;d8c7cc58-6cb6-4a42-aa35-5f9579bb92c8;2fd7dade-a359-4486-ad8b-beef582f7685;2
29a13aa8-19de-4dae-8e53-b9cb1aa82038;a0bdfbd4-57cb-48ac-88a8-b1f67dfd364d;4328cb14-3b4a-4b06-98e1-fcb291586cc0;3
42b0dadc-c825-4a12-96bc-edb4a76a4a27;4aa46ec0-8c29-4251-bb96-84ee931cb50b;3713ed92-621d-475e-b107-4629bcc22094;1
be2c37cb-d9d3-46f3-85f6-baa15596dc64;ce769da3-97ed-42bf-a86f-5e23a309e137;01ace836-b3a4-4e91-a869-374f9becee51;3
c0befec7-6d8a-485f-b809-929923f10c90;6f0c8a83-25ac-475b-a6e4-3466d9e6612e;92bfa3ff-ab77-4003-adfd-373ded67c871;2
273eef1a-6a53-4033-9c59-b0bf43e69347;fa868564-5f53-4b89-849b-8b8174006b5e;80abb614-57e6-424e-9f6e-1e3e1743da58;1
4b7fc40c-6127-4e4d-9fa3-9d3a1ce28476;ec68bd46-df87-49d1-a1f8-cf2dbc4a7607;6006a9e1-67aa-45cc-a9f1-b13167bc2ddb;1
1e3bb68a-3138-40a4-8829-ff2c85cbca5d;f5dc3308-3a22-4aff-b71b-273030942194;22bd2105-6892-49a6-949a-4adbe61f470b;1
ce60a14c-2761-431a-808f-e8f8d5294b66;0fa0f4c6-321f-43a5-9753-069e3455c61f;3033d4c2-1a58-4984-9904-3b4f7effb643;3
1e2d593f-10fe-4f91-adfe-068bf241d774;1a1b4533-de8f-4e11-9802-fc7c49495b41;30297a50-c7ec-498e-8983-344c3cd32387;3
7618a174-9297-467d-b370-faba6a5f3e88;bc98cf39-49a3-4884-b645-9cfc12bb8a9f;43f48d89-8213-45d6-ba66-7819d849b5d1;2
a3720c72-b71b-4c81-ab65-2087ef004539;1f8efb61-be0b-403f-972b-1c953d8b8b05;2e247965-d2f5-4fcd-8b8c-b5492fe6e50c;3
05107608-9d2a-46ca-8c4f-f7f505b5a15b;531c8cdc-eab6-428c-a46f-0e6e431ccb7c;7e80dc8b-c01e-4096-af17-01666695bcfc;3
0f832983-0da5-4ed2-a130-84e255b791c8;36220722-32c5-4778-9b0d-22200210b895;b67176a5-663e-47d7-9b12-ba778d8f3e09;2
a4c52179-89e6-4490-813a-1d222c2d3789;d6ac7bf1-11a7-479f-a12e-9bea9725ea44;4602bd3c-5ba1-4297-935e-0b51ce406a09;3
5e81564d-4cdd-4d20-bad2-209134984156;c3c560b3-e87b-45fc-a116-4c3a248a7a54;d3e8f62e-7541-4e3c-b841-cbc2299301f3;3
db98313f-5ab5-48a3-af7a-55139979b6ad;51e2e0db-42f8-4f0f-b084-8a5c2709b181;a3e920d1-7775-4a2b-a7b2-4c1ffcf946af;3
96bd1ef5-ca71-447d-8beb-849e2dacc3bd;ef7bf156-b91a-4f49-9b84-fdba69e8186a;1815e0aa-8b38-487a-b400-03dc0734d145;1
db55eeaf-401d-48d2-9339-5d28d642fe26;f8299f10-342b-4618-ae1f-438b060f1ab1;79691318-264d-43b0-931e-a160ee56c64c;1
098144b0-b9cb-4bd1-a525-6e87145774c2;8b871fe4-6425-4e35-94a8-15673e78abc8;3e13739d-e25b-4cf7-acbd-8e1304c175ac;3
27bfef4b-c67a-48ef-81b3-07fde78485c1;67e18432-b962-4f8f-9b9a-14b83f3648a8;91339775-684a-40cc-b748-c8e9957a45bd;1
c33cdaf6-486c-48dd-ab56-a94cfee7fef6;a714a770-5c7b-4797-9c05-77fb9929e4f3;5d5b8be2-ab83-415c-bc3f-d4ce1ac863b3;1
11405dfc-dd90-457a-a3ad-bb60ee8173f1;83075483-ac6e-453e-9d98-41923cef1512;dcb6e0bc-f503-415f-be7f-ebe1a697e1ed;2
74df5cfa-8d6e-4b6e-ba54-f2799917704f;00dc7b32-874a-4a12-a9f3-b70d86fe200d;ba3944b8-7846-4de3-80f2-7f6dd70f9139;1
94f30099-9c5d-43c9-b816-647eaceb6e20;4ce38516-f126-4e14-8c49-51e3576720b6;2affe163-9800-4c18-bf2f-42a44f4623e4;3
8c2a8119-6e5d-454d-86d4-57d78a0490d7;81729402-9f35-4ecc-896f-28818f81cdda;b0499d8c-1831-4bcc-bf6e-aaad7edbacda;2
3fe2290f-73ab-43c9-a627-0d4dad5f3d14;9b725b40-aa05-49c7-9142-f3e4f4e8ea8d;60e27053-5fed-4408-9faf-ebfd2edcb207;2
09975af6-8481-4dd1-a740-efb3d0585d40;59fecbdf-ecd3-4c42-9f5f-6e25d763915e;31c95b03-223f-4938-b776-25e11a56947a;3
