id;rating_id;class;sail_num
7af9c047-a545-4fe9-bfe8-c61cdc4da8bf;53dc0edb-6321-4b81-8bbd-c4326e4986a1;1;0
d9842009-46db-4437-b898-2d54879c2f9c;fe10b618-282a-42c9-84a5-13892f1470a3;10;1
cd91995c-7860-47b4-8dbe-4d7bc18dd01d;72799e06-f7f0-4091-8366-e16dfd091b08;6;2
ef9eace0-0ea0-4597-a281-78030d013798;c967a403-29b2-4c1b-9a94-87becb94a55c;10;3
41ddfac1-64e6-4cdc-ae82-07fe18d72b8e;98466065-58bc-44fa-b94c-b205ca9c7f66;1;4
9cec2456-7cb0-42b3-8c1d-0e068a82e128;6f1fdf84-e6cf-4254-9226-d8cc7120f9b0;6;5
d2500b3d-f443-480d-befe-ae19f7ea9f18;4268e16f-51bf-4d7c-a2e2-c020c9a46607;3;6
4abf904d-393c-47e7-9f47-f99d2eb69c50;b54ea337-6971-4807-b32d-6f434162f06c;8;7
f0e3bfdf-bda1-4438-b661-30e8da271b64;e057489b-e667-4d4e-926a-a725e3e78c4b;11;8
c8e9605a-7408-444b-8caa-e10c4e205745;924d3e80-a9a6-4836-950d-5fe62cda2642;10;9
797ed0df-a635-4fc9-918b-c2fe0ca33123;c6b0bd4c-5777-43ba-a96a-adfeaf230d8b;5;10
c261ee9a-5199-45a1-a62f-6b216a9fe5b0;47c35f9b-4868-4351-94c2-ec480d935acc;2;11
3f7927a1-ee24-4efe-b784-18adaaa1c0a7;81e33208-9346-4adf-89ae-a3ccb1b034c3;11;12
1e03e72c-b648-45a5-b183-432fcf4bd10c;6d79c602-ba80-4081-ab2f-c7b85837416a;4;13
6c5f730b-5545-4ed0-9ab2-c8fc447aa874;5085af2d-3678-40e5-8beb-75c7b5fa8c6b;8;14
a0397d4d-9ff1-4b94-85e9-29f8ad827c48;e9d2dee0-e825-496f-8c6c-ed5b32035078;6;15
a1476678-7c9d-4d99-8228-ca1c2c651e2e;315b7935-5c35-472c-9847-c02bb86bc470;4;16
eb82b539-93ee-4e60-9129-0c5d74310d61;6d2b1447-2e10-40bd-9ffe-e7ff3d5a74b9;5;17
5358b91b-e3fe-4f35-a055-385b96c0eb9b;7e0f4e3e-2a31-4ec2-868d-664d57dfc060;10;18
cc014daa-1650-4b4a-88b3-bf2ac3ab6cc4;005fbb5f-3549-41cd-a6ba-6c18b3c3bd3c;11;19
3f4cf3f7-bc01-4c13-961e-b11a763f1773;2c52b495-b625-43d8-bc2c-629a596fda38;5;20
f3c2fd65-5129-42c5-b619-3074931bced4;f347ff98-9923-4651-a304-6f9548c6c7e1;3;21
9fce7bf3-6848-4301-aaef-60f9cacf3152;1d78705a-3dbe-4b96-9319-5a6586dde0c7;7;22
0653fb08-c09f-4b15-a594-3e88206ffa6f;0ade65a7-6457-4644-bdec-e7d016406560;2;23
843fa760-7322-454b-befc-9844a28ad82f;fccc0f9b-a58e-4777-9b9e-528d37c72d0f;6;24
43fd4ec9-845f-467f-8e20-ccb4dcca81ce;212837d7-42b0-48c9-9b51-a821c16ae305;8;25
587961ba-9a92-4441-af86-7d75f1ceece0;a856392e-b71b-4c40-9a70-976680a4dcb9;7;26
f1d314b3-e8cb-4fc6-8c49-3fb2ba227569;0eb141d6-4e30-4ace-8746-aeddbdb0079c;10;27
2ff87b26-a312-4d87-8d79-ab4956b758d7;c3e8dfd4-8b33-4a49-b155-03f232a27f37;7;28
3b4f1ade-e97d-470f-a71f-84d438adf849;ec1d3013-554d-4b6b-aad7-ef2a2a644d62;6;29
fe865a34-7a86-4045-8186-e3f221a8a5f5;905fb277-a0b5-4101-bb0b-d24e6be311c4;8;30
61a3a223-47cd-4a78-a3f8-1c77b0090913;189c46d0-3753-4e80-b9fe-86c10df0f42d;6;31
03129aa3-d7fd-42a2-8e7a-31274538d393;5d34cf0b-a811-40ac-ba81-398f35ab5eb0;1;32
13ef0a09-75e4-4ba7-b38d-2d165f8c9479;bc94d534-47d0-4753-9d16-14f208e24cf7;6;33
8ce0cea1-7335-4684-ac55-cd1d99cae655;52d2a426-18f6-428c-b5c1-4fede493b7a4;4;34
e5a2e11e-56fa-4bc6-a20a-96ebf6a79499;99db64ed-040f-4a0f-96af-d465975c8017;6;35
e61b4f45-afc9-41af-948a-bbb4a85e8d92;64626dc9-ef46-4ee1-bbc8-9841625bde3c;4;36
d8c7cc58-6cb6-4a42-aa35-5f9579bb92c8;ffb11884-44b9-47e2-92d3-5f59822dd584;9;37
24b731b6-39f3-4dd3-bb40-df57dfb6fdec;29287f20-734a-4cca-8a88-a3e4a846f1e5;11;38
70290253-0553-436f-85c4-dfb5392e0454;0202c6f7-c850-4a1a-8db1-6c087bc10360;10;39
b3ea7735-a023-4913-b310-7e1794ca347c;4b02d149-0dfe-4977-8f71-5402771d712c;10;40
945effd6-d2ef-4e85-bf57-ad13677475cf;995eb7f8-6914-4052-a824-b487de8d2eca;4;41
8d37ec4d-04c0-44fc-ab17-64ea02d00e44;868a1211-1840-4623-a3f8-25d4c3348097;2;42
e95aff15-e7b9-4cc0-84cd-6abe0a0dcf0e;faa325db-b5c8-4134-8476-c3d10e3bd98c;4;43
