id;rating_id;number;class;date
5f235ca9-98c9-4b06-bc91-ba094cf9e02f;129ab70c-4558-4b74-adae-3fc4ade0898f;1;10;2014-01-15 13:01:23
cc433ace-7d68-48ac-938c-79864674bfb0;129ab70c-4558-4b74-adae-3fc4ade0898f;2;10;2003-06-13 18:06:23
05b91fcc-7138-40d7-9ff5-2b0312021b87;129ab70c-4558-4b74-adae-3fc4ade0898f;3;10;2003-12-25 09:02:23
b2df3ef4-3d3b-470d-a434-f2e44f9d9481;129ab70c-4558-4b74-adae-3fc4ade0898f;4;10;2020-04-04 15:02:23
2dd57940-6610-4681-9691-87787e144dd4;129ab70c-4558-4b74-adae-3fc4ade0898f;5;10;2005-12-20 17:05:23
a368978b-b8d0-4984-8d36-e144d9ec80df;129ab70c-4558-4b74-adae-3fc4ade0898f;6;10;2010-02-05 19:06:23
120375e9-d632-42e4-ade6-13fa7d87fb88;a66da12e-daec-46f9-8a75-d262c833f16e;1;6;2013-12-14 13:03:23
5452059b-21ac-47b6-b61f-033c586bc17b;a66da12e-daec-46f9-8a75-d262c833f16e;2;6;2000-11-25 13:04:23
2bdca781-5fbb-4331-a1d3-4e081476d611;a66da12e-daec-46f9-8a75-d262c833f16e;3;6;2009-04-15 14:03:23
9be621d3-b621-40b7-83eb-a2ea76cb091b;a66da12e-daec-46f9-8a75-d262c833f16e;4;6;2015-09-04 15:05:23
3505e995-56b0-4b37-a17b-b67f49214485;b29a43d4-042f-4379-9a6e-88debb2e1aa7;1;1;2003-02-11 15:05:23
21d418ec-3f85-4187-b771-4b95311ca55e;b29a43d4-042f-4379-9a6e-88debb2e1aa7;2;1;2023-04-05 18:03:23
04d92a60-de8e-4a69-921f-b6402eb76b06;b29a43d4-042f-4379-9a6e-88debb2e1aa7;3;1;2019-09-11 15:02:23
69ba6d73-9ac7-4ff4-b0da-5391b2396050;b29a43d4-042f-4379-9a6e-88debb2e1aa7;4;1;2003-11-11 18:01:23
06249a25-2919-4106-8592-00929452adeb;b29a43d4-042f-4379-9a6e-88debb2e1aa7;5;1;2006-01-01 16:04:23
3805ff9d-677b-404f-98a9-a85f62b9bf64;b29a43d4-042f-4379-9a6e-88debb2e1aa7;6;1;2008-03-06 13:02:23
375fc18b-5e0c-473a-91bb-34b54622a50a;b29a43d4-042f-4379-9a6e-88debb2e1aa7;7;1;2019-03-16 17:06:23
3defe62f-62e9-472c-bc91-b33e9c584335;b29a43d4-042f-4379-9a6e-88debb2e1aa7;8;1;2005-11-22 17:05:23
90f013ab-57da-4719-85e1-baac8430bd45;b29a43d4-042f-4379-9a6e-88debb2e1aa7;9;1;2002-04-06 10:02:23
2ff2b1bd-1864-4a36-bca3-f725e39e794d;b29a43d4-042f-4379-9a6e-88debb2e1aa7;10;1;2001-10-03 15:04:23
3681ecb0-ed4f-4146-8921-0bcebbb88972;c3e71108-bc4a-412f-b7e4-44a786d11303;1;9;2002-03-05 12:03:23
c408fc61-a114-4571-8bc6-43ddbfcb3101;c3e71108-bc4a-412f-b7e4-44a786d11303;2;9;2017-03-09 14:06:23
e6ed0ee9-4a33-4dee-b124-5ed57098fd63;c3e71108-bc4a-412f-b7e4-44a786d11303;3;9;2013-04-15 11:02:23
dfd04c50-0f64-416c-b08d-0e9af7361ae0;c3e71108-bc4a-412f-b7e4-44a786d11303;4;9;2011-11-26 16:04:23
42bf16dd-e7eb-4fc7-a675-d41e0ed34a7c;c3e71108-bc4a-412f-b7e4-44a786d11303;5;9;2003-01-24 18:01:23
d8df019e-6d93-47b7-9d35-d0535a33ed7d;8fdfa758-2c2f-429e-bce3-e524f079563c;1;8;2005-09-01 19:02:23
cb2270f1-8e48-4f65-8d45-c9550abc422f;8fdfa758-2c2f-429e-bce3-e524f079563c;2;8;2002-06-09 17:01:23
0967d6d0-c137-4f2a-9719-b2cf59649109;8fdfa758-2c2f-429e-bce3-e524f079563c;3;8;2014-03-23 12:04:23
b7587735-825d-46ac-a77d-fb2234358bf8;8fdfa758-2c2f-429e-bce3-e524f079563c;4;8;2014-10-20 19:04:23
579bb555-5985-4ffc-bdc8-c0619604d46e;8fdfa758-2c2f-429e-bce3-e524f079563c;5;8;2009-07-26 13:01:23
effac1c0-2f76-4715-b145-6df3abc55231;8fdfa758-2c2f-429e-bce3-e524f079563c;6;8;2015-03-15 16:06:23
70a0ddc7-88a5-4562-baa8-52807ee346b6;8fdfa758-2c2f-429e-bce3-e524f079563c;7;8;2007-03-13 09:01:23
2f5d4d14-c48c-424f-ba74-2e525d2d4cce;8fdfa758-2c2f-429e-bce3-e524f079563c;8;8;2010-07-19 17:05:23
4285ebac-9f4c-436b-9a56-87c3d2638017;ee868fbe-7137-4c33-ab72-ae1706d1d296;1;10;2017-01-21 19:05:23
b90972b6-e4b9-4b3e-a203-75c39a52d7cc;ee868fbe-7137-4c33-ab72-ae1706d1d296;2;10;2006-03-04 19:02:23
8f15c31c-9d2b-499e-854a-6fd31f349768;ee868fbe-7137-4c33-ab72-ae1706d1d296;3;10;2001-06-09 09:01:23
2cd85094-f2ac-41b3-ab57-725e1490c6e2;ee868fbe-7137-4c33-ab72-ae1706d1d296;4;10;2007-08-07 15:06:23
1348aa42-80e2-4fac-9a2b-dd9e2e556d06;ee868fbe-7137-4c33-ab72-ae1706d1d296;5;10;2012-07-17 14:04:23
26ab42c9-2769-4f4e-86d0-267620f618ea;ee868fbe-7137-4c33-ab72-ae1706d1d296;6;10;2007-07-24 13:03:23
78b65ae4-76db-401a-92cd-d32dd6bf1e37;ee868fbe-7137-4c33-ab72-ae1706d1d296;7;10;2022-06-14 15:03:23
b7f46e7a-d0b3-43e1-a7d1-5df6eb8f4910;ee868fbe-7137-4c33-ab72-ae1706d1d296;8;10;2018-09-14 19:03:23
9176c445-93db-48f9-8db7-907e66788a69;ee868fbe-7137-4c33-ab72-ae1706d1d296;9;10;2019-02-03 19:04:23
7ecf5f01-b55c-46ef-a2e9-771e5a43c10b;ee868fbe-7137-4c33-ab72-ae1706d1d296;10;10;2004-12-21 09:05:23
5168b18c-dbba-4faa-a19f-fe8e61968729;3a235ab0-b9cf-4512-9026-ff0f8264dc89;1;7;2000-02-22 15:02:23
118245a6-7855-4fc8-9c34-8690bf0e0e06;3a235ab0-b9cf-4512-9026-ff0f8264dc89;2;7;2001-03-13 17:02:23
2f5806ba-fae6-4be1-a9c1-c0cb9182344a;3a235ab0-b9cf-4512-9026-ff0f8264dc89;3;7;2004-07-13 17:03:23
21d4b1a8-99c4-4f51-be57-82a31456927a;3a235ab0-b9cf-4512-9026-ff0f8264dc89;4;7;2012-12-16 18:03:23
