id;participant_id;crew_id;helmsman;active
b0e81893-241e-42e8-b91b-4d716d204673;cb77c5e3-122b-4c59-bda9-9db341c9375a;3917f7d6-e758-42bc-9e1c-1db6d3d44fdf;True;False
3962b466-72a5-4077-adc0-9b6e86b7280a;ff9569b9-1b1c-4d1e-b722-f4ffb78b2a9e;c1f2b6c5-19e6-485f-a5a9-5c017a6d2576;False;True
5da55310-f9d2-49fa-96e4-00bda0feb940;91dc2632-18dc-4b2c-86e2-84cbca9b1368;256672bf-32b2-4f0f-a3a1-0a77794c4a35;False;True
90d6d950-5390-48a9-94f8-503938669f28;1bd8d2aa-d412-4e9d-b920-dd8afde015c0;79746d00-56be-4f72-a75c-89aaa078a9ab;False;True
4545db30-a2ce-4c8e-a98a-415edd79d134;72729cb3-0891-4989-be66-860ecb51e8a6;b9c7f550-2767-40d4-b5a8-cd0e4af05180;False;True
c966a62a-68e4-48a0-ac0e-16a772f0fd9f;3aecac90-b961-4d4b-8f06-43da469049a3;a2ce930d-b556-47bd-a27d-6fd235c8e7d3;True;False
53a5df45-e2e6-420e-a726-74b519c3ccba;99fbc951-09c5-4d50-b999-849d84f2dff8;736cc3d4-b903-4c70-b87e-fafedbb69c5d;True;False
ac26bebb-f9b0-413a-a38c-56abee3dee5a;3c60d730-1b95-49b8-a903-979755d3c92f;70011300-75a2-4da9-b8eb-9f2a8751bc63;False;True
a8ef1c28-82f2-4dd9-8804-48c73a279d74;b5c4c360-733e-4705-800c-1766a9f6406b;8e19eb43-d106-4469-9c81-adf2b5aeb738;False;True
4e12d6c6-a79d-409c-bea1-f6212c2017ba;9b915b96-33bd-4b11-a617-6854a7eec0e2;9df1f13f-cd02-443a-a809-751b6bc60f46;True;False
781d8794-7633-46e9-a922-67f3a92493fa;802b836e-cd38-45df-94d4-713a2a4c69d2;7553482f-d5c2-4ebd-85d5-3c5640664436;True;True
cf7c966d-0d30-4e59-8061-5673845fa9a0;f3d33ee1-f44e-457d-b498-2279449ddf78;18705ce7-a2be-4d5e-9f04-75e50f550871;True;True
53e014e2-540a-4042-999e-df2c168b84af;370aa852-3dd5-48af-b8cc-902530a41452;cbb145d3-8b2f-4464-9089-05a294f172c5;True;True
1eb7fee4-13e3-4c80-b6c7-e8c4640e9bb8;0a4de08e-6613-472b-a569-1b7a12f72dbc;9275155b-65fc-4e9c-8027-bd467e8da520;True;False
2b25e092-22d1-46ec-bf0b-5eddf2b499d0;e46bfe1d-1de7-44fa-adc9-a4ed0d2a68dc;81c4a60e-6663-4df1-9594-a8f3122580dc;False;True
7f226ace-c5e1-4ee6-97b5-9ee461bf9688;823645f4-95d4-48c0-b7cd-2be85f463844;35258ab1-91aa-4833-9edd-b7d030361949;False;False
771d9031-4c51-4016-9ee0-cfe0810b3fe9;7a736b60-9465-4e1e-b28d-e0f8e3ac8d2f;6d9dfcf7-470a-460f-85ab-a008d0f76858;True;True
ca432a65-d010-4cbd-b16e-56ecf8dddb5d;2709b61e-4722-434f-862a-858d50d8732f;8aeabc94-f226-419c-bc0f-0e04688468ae;False;True
e62f04a9-6058-4f29-959e-51ee208f888f;1cdfa077-8e11-4538-9b60-f521c06ba648;e5edc7e2-f1c2-4b68-8395-c9736ecb8c85;False;False
766b629f-7c38-439a-affa-e39067c04c7b;50b490f1-166e-466c-afec-777b68f2074f;39c58f0d-678b-4da8-b391-ca76598c70ed;True;False
184707f2-2a5a-4dcf-b2c8-8107cdb7c917;958bb88a-f9c7-46e4-afec-2b70f98ccd0b;2e4b9e62-6dcd-40a1-a01e-fd4b7f19e6c6;False;False
4c7afc7e-7ca5-4e24-a931-2d1291b29afa;af238455-5118-4216-823a-d94f7bf37282;31f7b80f-e073-47c6-a72a-d67d819e6a6a;True;True
a93cd00f-387a-4e76-bf7c-c21df2c449fa;fd72e554-0c9d-4b08-8d88-47287dcf2795;02ad7993-9bd0-4991-aea4-54efb8da6435;False;True
8125b679-8a86-431c-a411-b77ee300894c;e43c04c0-2aea-467b-8997-23c5a1d3981e;ee1e4bce-8ba6-4e51-8388-a2e8b28b9487;True;False
c1f4cb78-e2fd-46dc-a7e8-7aeacffbadbf;75970727-9385-4d96-9cb0-f73cd08ac1a9;27278ab3-52ed-46d9-9cb4-e180ff42c433;False;True
cfe13637-6725-4d67-944c-0529d09020e3;305f1faf-4de5-4ba6-a35d-299c5117ba51;36220722-32c5-4778-9b0d-22200210b895;False;False
e7246bb6-f0dc-4de0-83cd-adfea6491a93;4009242a-8e38-4522-89b1-3c4e4c47546f;deae9681-3e74-4e63-bc06-11214c6e460e;False;False
0e57abe6-8268-4f19-9b36-7b647f7f0f6b;e3ecc1ab-9bd9-4252-b58e-98396ead16b8;5a8268b2-f946-4a56-a138-2926ab23f468;True;True
d729e86c-d133-4147-bcb7-95dad367e21c;dd2f3ae4-a9ac-42d3-a29a-05dbd21f6cc1;1b877eff-bd47-4c03-ac3e-e5c0686384ae;False;True
17a8da4f-08f7-4ff1-81ae-136a1069f0e4;f1bbaa42-d15c-493a-b3b0-be1e346e4bd8;ac3f601c-9e4b-48d9-a68c-8a5d7529c34e;True;False
26056a01-1ff2-4cca-ab88-54e1de207fed;2a26d747-12f4-441b-92b9-83cae60b6e20;47c0171f-7775-45aa-a5a0-6fb946e34aba;False;False
297dc534-5161-46b4-9a91-ecb8f8222499;fe6c2c2c-3d66-45ca-81e9-8ce9108d787d;ec664305-9a14-46e1-b362-b724afb0a3da;True;True
7bf2bb9b-d6c7-45d1-bfaf-d183514b9ca8;afcf109e-3aae-4498-8c8a-b83e413180f9;ff34fe91-d0f9-4340-b200-ec9f5a6fdec6;True;True
80fec561-a2c9-4c54-982b-ee49b15f69bd;f21b6a3e-4cfa-4e44-a196-739dda79b521;9fc994ff-7226-4bcf-8704-db1caa183016;False;True
c8beef82-0efe-47f1-9e23-002dc54c5899;32a67ea1-3c41-4fcb-9e90-be0e19d58d5a;e61b4f45-afc9-41af-948a-bbb4a85e8d92;True;False
9ad92e93-292c-4f9c-9748-80764308cb1f;dc78346d-7b91-465a-9c27-0a1d6ed7a5bd;e451f126-55fb-45b0-a8d2-487d916844fb;False;True
