id;crew_id;race_id;points;spec_circumstance
20877963-369c-44d7-9bb7-b770a3cfc558;644a6a6d-d692-4b23-9573-30adf367d72a;216c885d-71b3-455c-a30e-dbcf411cc72f;25;13
914cddf4-7220-4462-80d2-8dc61c726a5d;e2a7cc29-d67c-474d-9445-734fc9e9aef9;108da0ca-3c40-455c-bb95-20d1ddfb66cc;51;0
c064666e-1d92-44ac-ae1d-1d328f266b25;eede5d33-5c4f-4583-b355-ea290f2764b6;873edd60-94b7-46cb-a71d-733238bc478b;91;6
a6ba0e0c-c9e2-495a-b2ae-6ce02c4b840a;52311e62-078c-4f37-9a53-dc76e22aa89c;f5676ca1-6df3-443c-a335-8e24f2c6ca0f;91;1
5f49ba82-a96b-4523-8e4c-4165c64c0b7e;044c9394-517e-4c27-99d8-5d3ff56d38f8;9601b4ce-fd22-4df9-a89a-cd4be99c1f9e;66;11
d4fbb49e-9a37-4b25-ba1b-f28b63eb8206;b55e0b98-44f7-4c44-a78b-71c43ebaf2d2;4b996ea6-712d-41a4-a7f4-3415d998c9d1;50;5
2fe1e4de-7eb2-416f-9db3-53b3651a14d1;173427b7-2cfa-450a-a4a6-91d913dd0068;d09b9a35-31ea-48f9-a922-bfc125b73206;48;5
dca9b535-f6f2-4626-92dc-bf0131e3497e;4c51d444-44e3-4953-b956-1b34b422fecc;3c6db6ec-7831-4248-89b3-66b4aee4b419;19;10
f6e7d4c9-6872-48c0-b8ee-401c27fe95eb;d1a546ba-f5fe-430d-bb0f-38602e7d30a5;8034aad9-52a7-46e5-b32b-dec8cd61a5cc;70;10
b2c6f40e-898e-4e9d-bc48-e856c149031d;842403e2-a23c-4c6b-9fd6-0e906ca654e7;cb460710-534d-4bd8-af4a-a697b33597cd;84;6
7bb00da1-3cec-48ba-81c0-cd6824bc827a;d8c7cc58-6cb6-4a42-aa35-5f9579bb92c8;ad8d031e-603e-44ef-8158-1d6b82d22a5a;88;7
2440aa36-9379-4755-9910-44376471db28;6d563d7b-bb03-44e8-a2c9-371cfa89d176;ee5357a7-7c1d-4864-ba43-d051d16245c7;9;9
eaed8451-2fab-495a-ac17-fb12198991aa;8e1890a6-d5b3-4e53-b71d-009e3b968bee;30e0c7d8-8a7f-44a3-9791-a2d27fba8eec;2;12
722cba8d-8e2f-4639-8681-3c5d292b419a;c8ee3929-7b1a-488c-9a64-fc4bd641557a;2f52a470-79fd-493f-9dc9-125b4c5c0d5b;46;13
872a4e08-ec5b-4c5b-b215-6efbdbe8bb0c;20de609e-a50d-4262-89db-8fc2a99f75e1;ee269c02-680c-437d-a2bd-cf44a5f5c3bf;55;9
9e169a2e-c79c-41d3-b8ea-de0ec58f2a14;c176654b-4891-4347-a732-45f9e5a7c7d7;9601b4ce-fd22-4df9-a89a-cd4be99c1f9e;66;2
a2413c4b-c6c5-409b-84dd-19db9ad5f373;997536b3-24fb-4e2d-ad9d-eab61444aaed;334ccc83-e61e-43be-9612-db076356fc2c;98;11
1a3cf841-b88f-4806-bda9-24501ee59e80;dc34539a-1514-4486-890b-7d5023610941;f53a1847-24e5-4e2f-88a6-70e5fa303172;43;5
6c1edd9c-8a2c-4c5f-879a-7ea30c69cbfc;a7e1f9f9-a99d-4ba5-bd2e-25fc3fb8d02d;fa01b068-7d8e-4662-a8de-5c7b797b2f62;64;6
e5bf7ba9-34b4-40c2-aa93-f13f6d153305;8ace378b-ea08-4cfb-bf75-6744a82b9bfe;c117bab1-caa8-4846-8d4b-1ad61cd6af31;56;5
6bf8b267-8945-4228-a2c5-3df3cd2794e4;a819ae7f-48fc-4e7d-accd-f94ae1bae7d2;38e65936-bde4-4520-a6d1-c86a53d67655;71;5
6c6dc5f0-062f-4224-a3b0-df4acd8702e7;28846f7a-03bb-409d-835c-027c96beec6e;d9d50e5b-af0a-4970-8363-36e835b3a35c;42;3
737f4b75-c559-4aa5-a62e-d8c6fdad8d78;140d9290-c05e-42d4-a2b9-6926c855c308;4b8439a0-6d53-42f9-b594-aa378e653a41;22;13
bd7125db-bf24-48f2-bf94-6dea2f3db164;738ad9e8-5ca1-44bd-a726-d28530ec2b71;d6c0b162-cfb2-46fe-9284-5a86559ad359;65;7
d9682c4f-0666-43dd-9522-9d7261aa925c;727eb06c-8c6e-462b-ad9f-2ee7b88b9dc6;7b228b8c-8e5b-4fd0-9177-8cc1dd19c5b2;46;8
312e78e3-efaf-47a0-8ee6-bc338190d4ba;82910d5e-c5be-431c-ace7-1c99f87d3078;eccafe73-4ca4-4114-9dd4-0a02cb98137f;40;3
bee85f14-7a6a-444c-b1e2-e2b2320109cd;af48ad95-d568-4dc3-9a98-640234600e95;dcf1c6e2-b869-4413-977b-f80ceb85d055;73;12
011a284d-b9c9-4034-b431-edbbe031e19f;7e4ce800-5bda-426d-a34c-0b71e86909f3;58294fed-1475-4aac-82d5-16a208d77f80;99;12
67fa9173-d745-4ed7-96ab-a0e94f4e215d;9cb1bf78-af7a-4c85-880f-c4951bb61d32;eead842c-dfff-47e8-b2db-c2fb3e2c3168;101;4
0531bddd-11aa-46bf-8b68-e8d5b89c94c5;405e9fb2-01f0-4166-8169-732c6beda254;649b1676-2eaa-4529-be19-29a254cdc642;60;13
7fa15ba0-d662-4c4f-99ff-2181f2fc76c6;52654913-8439-493c-aa95-fea617e77fd0;e521893c-df26-4e85-83ad-77b227245126;45;9
84a256d7-1ebe-48f7-9dca-fb423e1b47b8;6bab8959-b6f6-4a8d-b353-ce3cc187692b;c54aa6aa-d7dc-4673-b0c4-734612e0cd37;69;2
9a3e7d1f-85ad-40e5-a13c-6a270027a128;de0fe683-0bd5-4484-9ca2-857e95f522fa;6b8258ad-3abd-499f-8170-ff878aaff1f3;76;12
a8fe7ccf-1a3f-4a00-87ef-6056516184c9;8ed68792-a22b-4575-ae39-6536bdd3076b;27432ac7-f4bb-418c-aab1-7b38b89be120;80;10
d0909daf-cf81-4226-8d1e-64e88ef6b542;0764a69a-23d0-4196-a7c5-054b79ccdcde;1f5b23d1-34af-4895-a6dc-c5e3020fefbb;64;3
cefde448-c88b-4fca-8945-ad46f91aefb5;9bba477d-d46f-46b9-a12f-5610e0d31d74;286491cd-4386-4149-b1b1-bd4773f46ad3;26;8
727e3cfc-57c7-4a4f-b381-fc503d87793a;e3c0d874-704c-4adb-8b6c-388ec9e70ba9;433f0d8a-9f02-4fb9-9db2-03ce1068654e;95;12
d058db34-9a68-488e-b491-22b54a894954;15164ef7-c9ae-43c4-ab02-5d2a0f39386c;4ce5323d-b799-490e-8d68-f2a2d34a64eb;28;3
a2dd2f53-3c5b-40ea-98e2-b8a194cca625;051a2192-fe85-4e3d-b6d2-51fb829228b3;a4448288-92f5-44f4-9df7-4b0047bd6ed1;8;8
4042a98f-8d58-4eaf-87db-07455726b13e;0c3599f4-4ba0-401a-a25e-abc4e9494635;a374843f-74d6-475c-bba7-ebda5c75f055;28;5
657dabd4-118e-4939-a0b9-38a0961983d4;ee58c461-9de4-4b81-b204-8cb832701b7a;3aefff61-831f-4223-b3d9-5edc81fc9a8e;100;7
056587d3-aa66-4fdd-808a-3bd9b643a741;79658df2-336a-48c6-850c-940028e49834;8476c5b1-adf0-40fa-a2c4-17baf40e4432;49;2
0ff8a7d2-d6a9-44e8-b7cb-88b90bf4e7dc;237cf989-80c3-4895-9b2e-1fa4b770da2b;bbe40fde-5375-4e47-beb8-c88ee80f8c77;74;11
cbf4659d-a79c-4dda-8a85-24540c7d987b;42f9f543-acb6-4c5e-beae-96dc8cc22f2e;d3a3e57c-c8e3-436a-9232-6755e97b4c5f;59;7
291551d3-4c16-4a43-9139-d62eab711f00;efb8e00d-aeb3-4198-9b79-357421407a00;76702f3a-650d-43e7-8888-d9f08a8c7239;70;3
d7fb6ea2-f196-4ce3-b1d6-63d32c493da2;9180e937-24b2-489c-bb7a-1e181fe9b5bf;76c672f6-e896-48b5-8f4f-0d18aa5f5a23;5;11
c03b040b-b7ba-4425-9a72-c5f5d496769a;d5133e53-0986-4788-b1d5-5696a7da23c4;7ca861f1-ea70-49ee-83cb-fe195ae4fd15;56;8
156a5ae6-d400-45d3-8aa2-bafbe8ab0294;0653fb08-c09f-4b15-a594-3e88206ffa6f;68c53d20-87bb-42b4-af00-fa1b1ca7716b;64;5
4a1b6503-5e1f-4630-bbe2-d70721759565;81648f01-630f-4332-8834-22e39eb3518c;3c902cd2-5a18-4515-a8af-500fd8ddcaa7;66;10
d2fdebf1-b45d-471f-a071-68fabdc04daf;711319ba-a8f9-4587-8d40-ab52f6dd61ef;08f098f0-2b7e-4757-94de-d0db35d6cfd2;9;12
376c3647-ee22-4dd3-ad31-9afe6348fd53;8a6478b5-255a-4615-b4a1-8fe7c0245fcc;927a6b47-c584-47f7-b7a0-0969a7f95bfc;13;2
d117b140-b37b-439a-aac1-ce4368a04a1c;a5ec0581-347b-42d6-af86-58233f95a3fa;9f4b3c07-0329-4966-8c25-2741fc470574;20;0
0a7fd007-7241-4e8e-9101-0391fb794de5;39c58f0d-678b-4da8-b391-ca76598c70ed;dd21d06b-6e69-41ef-bca3-cfe30701d094;22;6
067dda50-9ab2-48bd-bb45-3a8fc2f3d59e;e5a2e11e-56fa-4bc6-a20a-96ebf6a79499;8a31d923-e7dc-4cb3-b84f-cdb0cea1f65d;22;8
8fdef0c3-85e9-4535-8171-e7a35518a1f4;a98b8be8-52c6-421e-9064-40f1dac24bb8;66f847b0-e23f-43cb-a049-d0bec382de49;59;2
8a1b9612-af00-4cb5-88f1-d1125afa711d;7b41a3b1-5d54-4e9c-a1ac-541ceac05343;c676246b-e598-4453-a32f-aa95dbaa56bf;89;2
b448ebe0-c7ae-4101-b67b-4cdb7256a436;35309b79-fb2a-447f-be83-04d289f55336;e1a9aa65-304f-4e1a-91f7-bbe74109c148;26;0
405739c6-600a-4398-8344-3a79c3dcf1ef;ad0127de-d306-4a14-8ea1-972f0434115b;0a8beddf-9856-4222-9ce6-4aaa0f467dd8;73;5
20467430-c97a-4317-a53e-7477b947bc3d;5f8e4718-1516-43d6-b8b5-3b5117e5732c;09076a43-6a11-4d6f-b4d0-2e806347ba40;33;8
902a6b88-d782-416f-a4f9-ff5b241f9d9f;d9c73ae6-59ea-41bd-8c4e-b1b736b9380c;52ea26da-77da-432f-9da9-624feb64dd44;28;12
ca47bd22-6617-4220-bab1-c62dff8cb0d0;4aa46ec0-8c29-4251-bb96-84ee931cb50b;aa3610f5-f5e0-4cff-bbed-29376ad3a89d;3;9
9d78855f-48e5-4595-bc4e-3f212b7ee4b8;2d01e9e7-c58a-4fc6-939c-e4e841b05e6d;5b74e7b9-51fd-4dd2-84e3-097f55eb27e1;57;3
92f48fe0-5dab-44a7-919f-91ff46a9b700;d1f34331-92a7-45a5-b3dc-f8edd0d34f45;6d231908-a3d4-4516-a81a-fdf304cbd94c;7;0
bb769086-46c4-48ee-a6b2-92c7173b9f95;eee8f995-333c-46a8-a59b-961cfccce743;78e2c169-07f3-4bf2-85b7-8cfca01b5846;91;13
f80759b2-fbc4-4fb2-a3cb-ec6a5f63ab40;88466f51-9125-4e95-9cf8-8bed90a099f1;c30a8667-62c8-4ecb-9b44-1aa27ccadfd4;10;2
f2220a46-1f30-4237-bc55-12090782f152;459df4a9-0a6b-4884-bbde-541a58ca53c3;9dc7b910-2d62-4d52-841c-91a61c755f7f;101;0
5cb7ea55-0c71-4d3f-8be7-e12d8bb8fd86;9c67e454-4de0-49fc-a425-1922221a958f;15a0a722-a812-44e1-9bb4-13fdf391ab2d;14;11
82f01728-244d-4262-a81c-0c72a765a7a8;1f83054f-901c-427c-90bb-e3b067a2268e;b6a541b9-d26f-49fd-86c7-fa9b5f6a3766;73;12
537a0249-8678-45b5-8b69-3e26d8e25b9b;2ab912a8-18b1-49da-acac-c7f4be584ffa;010f85cc-e2a9-4a42-8bc3-402e73d048b5;45;12
f68115f2-789a-46fd-b409-1a83b6711ac2;454c9bb1-f4a6-4854-aa92-27002f0d88fc;814742d0-e8b4-4f4f-8e83-38b773717407;85;13
f6d3e252-17c5-4f24-aa9f-ffb0e72bec7c;02d832ff-cc67-4485-81bc-bff58af1db84;355d5820-a6c0-4704-946b-7d2898318592;18;13
a3bed8d9-0ca2-48df-89b1-392a5db197e1;1e064613-6476-4efd-abc4-82193bc9559e;5bbf231a-aec7-4c4f-ab51-72c8da041bc7;91;8
c6457ecf-3a07-4ce8-baf6-66e5dcb8b28b;6070bb76-99c9-473e-b6f4-ec5b7c714120;465dd32e-941b-41d4-93cd-727e47cceea3;36;8
3f009afb-8707-4c71-b9d1-628400f6cec8;18e3e54c-b548-4b84-8dd4-369228487978;d09b9a35-31ea-48f9-a922-bfc125b73206;43;0
32e87512-1286-4999-9cda-bc6e26fb9638;fd2336a2-8e9e-4b48-aaba-8be297feacf5;2c351da7-50ca-4f07-a759-1a333d6f6213;1;2
6e4da0ec-1a1c-4460-a11d-f8d268d61973;d02ea7a7-dda7-4e52-b347-612ebc17dd3e;ed69b3a4-7955-4a32-89ee-9f99a51f7d9c;31;0
63e974cb-ea64-4b91-8fcd-e6dd8c200eda;c2772169-2cf4-432c-beb7-37420c0f3147;6d0938f7-71ed-4a52-ab3a-a48af296a999;88;12
7867747d-638d-46d4-bda7-8a07db1717f6;ffecca4b-3900-458a-ae03-3bd2c8271c11;aa14fe02-889e-44b3-bd63-bfdeb0dfe9a1;68;3
51901410-3957-4165-896c-f75a75a2f590;b1818930-1beb-4970-81bc-7fb08ff17746;2793d45e-410f-4e40-a3b9-10c4a56f9c0e;22;6
c50323cb-0b33-4766-83b1-77e8f87b4e1b;c9a654ed-805a-4fa6-a5be-f2ef01c05b0c;943491b0-d630-46ea-a581-afcb4a9219c5;88;3
eae59969-8378-49cc-9d41-c7e31647c80d;b29f06de-b879-4210-9b55-deead583e391;905231e7-4360-4b55-afbc-67fa10ce206c;19;5
fe32de6f-8983-4e1e-8e71-64559e121fcf;82ba18e6-41cb-4586-9f2a-b14e9a46725e;8ece7659-75f9-4219-bd8a-58fb228288aa;58;8
d098cfd2-fc4d-4958-80e7-471c1ba33cdb;038f8bd5-439e-47f0-b12c-6b30b6ad9463;152a1880-776a-4375-b150-6dc14948a25e;81;13
60b4ed3b-520d-4254-8e9c-27c4358f8301;607e1d9b-ef46-4b6c-9758-29909067f237;c92d1b94-ef00-46f4-9014-bf62e4bd731f;22;6
