_id;judge_id;rating_id
55ee4250-ba7e-45db-a7bf-5e23eed42349;645f25f4-6e22-455d-9939-09dcabf60a3f;c9c87e37-448f-46af-8732-e825d08cbf47
15522f88-147a-4a4f-8000-eff67a7091a9;e5952803-ec94-482c-8765-6081f20fcb57;c9c87e37-448f-46af-8732-e825d08cbf47
a5e860f8-8560-485d-8ee7-2d0357ba59b2;a6b4ecb3-cd29-4834-8dc1-20e0a99e087b;c9c87e37-448f-46af-8732-e825d08cbf47
9f750c40-d6cf-443b-95f9-5d13627d6387;c4acfa1f-3f6f-4ac4-aefb-ec0d556a60e1;c9c87e37-448f-46af-8732-e825d08cbf47
971ea446-bf6b-40bd-bdf6-6e9aedcf3e7a;07f45196-6c96-4bc4-a5b3-3709dc6d8349;c9c87e37-448f-46af-8732-e825d08cbf47
616a7674-83a9-42b8-a0c3-3e1a4c9ebde4;f551807f-6c17-4479-86eb-b5e9e8e4cc9f;3b4e915d-da28-4fb1-bd81-511c39ed5718
b31cb3bd-43d0-403a-9371-b3def5ba1cff;89bd8f71-2e14-4032-a840-334ddf687624;dc53e17d-2df2-4d20-a813-af17b7a35cc3
5602dd61-15c9-4f80-9856-66a120f0f633;90cf137f-d0b0-482b-962b-73146fb3ea8b;dc53e17d-2df2-4d20-a813-af17b7a35cc3
93d226d4-6e85-47f9-a321-ffd470ba6bc1;136c2823-0ba8-4a4b-be12-b2d67046852b;dc53e17d-2df2-4d20-a813-af17b7a35cc3
1510cf80-c75e-4427-a309-f88922f719a4;f2722a6f-d13b-4787-bdc3-756fe1eb92d9;bf25807c-2e9b-483c-97d6-bca53febe21b
3b0e941e-3b00-43b7-a706-2d32b8e055af;5173df42-38d7-4e3b-82d8-cacc6f85086d;bf25807c-2e9b-483c-97d6-bca53febe21b
fa4a3b9c-c6b0-41d9-a061-39c5017dcad7;cd4f50c8-b90d-4eb9-8f1d-b894086ede4f;2aaac06a-4812-4777-9b4c-01bdde81c092
34dc29a9-6c7d-4e35-958a-5e2f56e821b1;fba098aa-65ab-4e8b-b50a-ad903a1baf1d;b224d8c4-0f4d-4ad3-aa6f-3e52c6b651b6
5c367340-459a-40d1-aa58-15bac5774ad7;4032375c-6f79-43d6-baf3-d8dc4b98b298;b224d8c4-0f4d-4ad3-aa6f-3e52c6b651b6
0a2920d7-ddfc-4cc7-b77c-ae9f42a777c2;e8b8e87d-d196-43de-99c5-6098cb7cc8f8;b224d8c4-0f4d-4ad3-aa6f-3e52c6b651b6
